Q#,Question Text,Correct Answer,Haiku Answer,Haiku Correct?,Sonnet Answer,Sonnet Correct?,,Base Haiku Answers,Haiku Correct?,Base Sonnet Answers,Sonnet Correct?
22,"A vendor is pulling a cart full of watermelons weighing 100 kilograms. He needs to cross a desert to the other side to sell them. Due to the hot and dry climate of the desert, the water content of the watermelons decreases from 99% to 98%. What is the current weight of the watermelons?",50,99 kilograms,0,50 kilograms,1,,99,0,50 kilograms,1
23,"Suppose we have a game that assumes we have a fair coin. Two people who are playing can pick two patterns of coin flips. The players then flip a large coin a number of times and record each of the individual flips. Here, H stands for heads and T stands for tails. After the flips, they pay attention to the record of flips and decide which pattern came first in the sequence. If HTH came before HHT, player A won the game, otherwise, B won the game. What is the probability that player B won this game?","0.67, 66.67%, 2/3",The probability that player B wins the game is 1/8.,0,2/3,1,,"0.25, 25%",0,2/3,1
24,You're participating in a race. You overtake the second person. What position are you in?,2,"If you overtake the person in 2nd place in a race, your new position would be 2nd place.",1,"Second position. When you overtake the second person in a race, you move into second place. The first-place person is still ahead of you, and the person you overtook drops to third place. This is a classic logic puzzle designed to test whether people mistakenly assume that overtaking second place makes them first.",1,,2,1,2,1
25,How many times can you subtract 10 from 100?,1,10,0,"ONE time - you can only subtract 10 from 100 once, because after that subtraction, you no longer have 100 to subtract from.",1,,10,0,1,1
26,"If red flower is 1/10 more than yellow flowers, then yellow flower is 1/__ less than red flowers?",11,1/11,1,11,1,,10,0,11,1
27,"We divide 50 into 4 natural numbers a,b,c,d such that 2a = b/2 and c+2=d-2. How many divisions we can make?",5,"There is only 1 possible division that satisfies the given conditions: a = 6, b = 24, c = 8, d = 12.",0,4,0,,47,0,4 divisions,0
28,"A train leaves a station and travels north at a speed of 75 mph. Three hours later, a second train leaves the same station and travels in the same direction at 90 mph. How long will it take for the second train to catch up to the first train?",15,15 hours,1,15 hours,1,,15 hours,1,15 hours,1
29,"We roll a dice and count the number of times we roll. If we get an even number, we will reset the count to zero. We will stop if we get one. What is the expected number of final counts?",1.5,3,0,3,0,,8,0,3,0
30,"100 people are boarding a plane in a line and each of them is assigned to one of the 100 seats on a plane. However, the first person in line forgot his boarding pass and as a result decided to sit down in a random seat. The second person will do the following: Sit in her seat if it still available. If her seat is not available, choose a random seat among the seats remaining and sit there. Each following person sits according to the same rules as the second person. What is the probability the 100th person will be able to sit in her assigned seat?","0.5, 50%, 1/2",The probability that the 100th person will be able to sit in their assigned seat is 1/100 or 1%.,0,1/2,1,,1/100 or 1%.,0,1/2,1
31,"A group of police officers have breathalyzers displaying false drunkenness in 5% of the cases in which the driver is sober. However, the breathalyzers never fail to detect a truly drunk person. One in a thousand drivers is driving drunk. Suppose the police officers then stop a driver at random, and force the driver to take a breathalyzer test. It indicates that the driver is drunk. We assume you don't know anything else about him or her. How high is the probability he or she really is drunk?","1.96%, 0.0196",2.00%,1,"The probability that the driver is actually drunk given a positive breathalyzer test is approximately 1.96% or about 2%. This is calculated using Bayes' Theorem: P(drunk|positive) = P(positive|drunk) × P(drunk) / P(positive) = (1.0 × 0.001) / (0.001 + 0.05 × 0.999) = 0.001 / 0.05095 ≈ 0.0196 or 1.96%. Out of approximately 51 positive tests (1 true positive and 50 false positives per 1000 drivers), only 1 represents an actually drunk driver.",1,,1.96%,1,1.96%,1
32,"A family has two children. They can be brothers/sisters/big brother and little sister/big sister and little brother with equal probability. If you see one of them is a boy, then what is the probability that the other one is a boy?","0.33, 33%, 1/3",1/2,0,1/2,0,,"1/3, 0.333",1,1/3,1
33,Ankur's brother has two offsprings and one of the boy was born on Tuesday. What is the probability that Ankur's brother has two boys? Assume an equal chance of giving birth to either sex and an equal chance to giving birth on any day.,"13/27, 0.4815, 48.15%",The probability that Ankur's brother has two boys is 1/2 or 50%.,0,13/27 (approximately 0.481 or 48.1%),1,,1/28,0,13/27,1
34,"You have 100 candidates, upon which there exists a total order. The candidates have appointments with you, one at a time, in a random order. From each interview, you can tell exactly how that candidate ranks amongst those you have already examined. At that point, you may either accept or reject the candidate. Any acceptance or rejection is permanent; no candidate, once rejected, may be reconsidered. Your objective is solely to accept the best candidate. What is the strategy for maximizing your probability of doing so, and what is that probability?","1/e, 0.3679, 36.79%","The optimal strategy is to use the Secretary Problem or Optimal Stopping Theory approach. The key steps are: 1) Observe the first n/e candidates (where e is the base of the natural logarithm, approximately 2.718) without making any selections. This is the 'exploration' phase. 2) After the exploration phase, start accepting candidates that are better than all the candidates you've seen so far. This is the 'exploitation' phase. The probability of success using this strategy is approximately 1/e, or around 37%, which is the best possible probability for this problem.",1,"The optimal strategy for the Secretary Problem with 100 candidates is: (1) Reject the first 37 candidates automatically while observing their quality, (2) Starting from candidate 38, select the first candidate who ranks better than ALL previously interviewed candidates, (3) If no such candidate appears by the end, accept the last candidate. This strategy yields a success probability of approximately 37.1% (or 1/e ≈ 0.3679), which is the maximum achievable probability for selecting the best candidate.",1,,"the Secretary Problem, also known as the Marriage Problem. The probability of accepting the best candidate using this strategy is approximately 1/e, which is around 37%.",1,Secretary Problem (marriage problem or the best choice problem) - 1/e ≈ 0.368,1
35,"In a 600 meters circular runway, Alice and Bob run from the same location clockwise. They meet with each other every 12 minitues. If they do not change the speed and run from the same location again while this time Alice runs counterclockwise, then they meet with each other every 4 minites. How long does Alice need to run one circle?",6 or 12,12 minutes,1,6 minutes,1,,4 minutes,0,6 minutes,1
36,"There are two circles. Circles A and B are externally tangent to each other, and there is no relative sliding at the point where the two circles touch. The radius of Circle A is 1/3 the radius of Circle B. Circle A rolls around Circle B one trip back to its starting point. How many times will Circle A revolve in total?",4,3,0,4,1,,3,0,4 times,1
37,Alok has three daughters. His friend Shyam wants to know the ages of his daughters. Alok gives him first hint. The product of their ages is 72. Shyam says this is not enough information Alok gives him a second hint. The sum of their ages is equal to my house number. Shyam goes out and looks at the house number and tells “I still do not have enough information to determine the ages”. Alok admits that Shyam can not guess and gives him the third hint The oldest girl likes strawberry ice cream. Shyam is able to guess after the third hint. Can you guess what is the age of the oldest girl?,8,The age of the oldest daughter is 12 years old.,0,"The age of the oldest girl is 8. The three daughters are aged 3, 3, and 8 years old.",1,,6 years old,0,8,1
38,"Two trains are on same track and they are coming toward each other. The speed of the first train is 50 km/h and the speed of the second train is 70 km/h. A bee starts flying between the trains when the distance between two trains is 100 km. The bee first flies from first train to second train. Once it reaches the second train, it immediately flies back to the first train … and so on until trains collide. Calculate the total distance travelled by the bee. Speed of bee is 80 km/h.","66.67, 200/3",66.67 km,1,66.67 km (or exactly 200/3 km),1,,133.33 km,0,66.67 km (or 200/3 km),1
39,"There are two empty bowls in a room. You have 50 white balls and 50 black balls. After you place the balls in the bowls, a random ball will be picked from a random bowl. Distribute the balls (all of them) into the bowls to maximize the chance of picking a white ball.","0.75, 75%, 3/4","The optimal strategy to maximize the chance of picking a white ball is to evenly distribute the 50 white and 50 black balls into the two bowls, putting 25 of each color in each bowl.",0,Bowl 1: 1 white ball; Bowl 2: 49 white balls and 50 black balls. This distribution maximizes the probability of selecting a white ball at approximately 74.75%.,1,,"0.5, 50%",0,74.70%,1
40,There are 1000 wine bottles. One of the bottles contains poisoned wine. A rat dies after one hour of drinking the poisoned wine. How many minimum rats are needed to figure out which bottle contains poison in hour.,10,The minimum number of rats needed to figure out which bottle contains the poison in 1 hour is 4.,0,10 rats,1,,10,1,10 rats,1
41,"In a country, all families want a boy. They keep having babies till a boy is born. What is the expected ratio of boys and girls in the country?","1:1, 50:50",The expected ratio of boys to girls in the country where all families keep having babies until a boy is born is 1:2.,0,"The expected ratio of boys to girls in the country is 1:1. Each family will have exactly one boy (by the stopping rule), and the expected number of girls per family is also 1, calculated as Σ(n=0 to ∞) n × (1/2)^(n+1) = 1. Therefore, across the entire population, the ratio remains 1:1 despite the biased stopping rule.",1,,1:(1-p)/p,0,1:1,1
42,A car has 4 tyres and 1 spare tyre. Each tyre can travel a maximum distance of 20000 miles before wearing off. What is the maximum distance the car can travel before you are forced to buy a new tyre? You are allowed to change tyres (using the spare tyre) an unlimited number of times.,25000,"80,000 miles",0,25000,1,,"100,000 miles",0,"25,000",1
43,You have 15 Rs with you. You go to a shop and shopkeeper tells you price as 1 Rs per chocolate. He also tells you that you can get a chocolate in return of 3 wrappers. How many maximum chocolates you can eat?,22,20,0,22,1,,20,0,22,1
44,"A Lady (L) bought an item of Rs 100 from the Shopkeeper (C). She paid him through a 500 Rs Note. Realizing that he did not have change, the shopkeeper C got change for that note from another shopkeeper (S) and paid Rs 400 to the Lady. After a few days, S realized that the note is fake, And this railed at C and took 500 Rs back from him. So in this whole process how much money did C lose in the end?",500,The shopkeeper (C) lost Rs 100 in the end.,0,"The shopkeeper C lost Rs 500 in total. This consists of the 100 Rs item and 400 Rs cash given to Lady L in exchange for a fake note that has no value. The transaction with shopkeeper S (giving fake note, receiving 500 Rs, then returning 500 Rs) nets to zero and does not contribute to C's loss.",1,,500 Rs,1,500 Rs,1
45,"A man is allocated a task. He doubles the task done everyday. If the man completely does the task in 20 days, how many days did it take for the man to complete 25% of the task?",18,It took the man 18 days to complete 25% of the task.,1,18 days,1,,6 days,0,18 days,1
46,"Four people need to cross a rickety bridge at night. Unfortunately, they have one torch and the bridge is too dangerous to cross without a torch. The bridge can support only two people at a time. All the people don’t take the same time to cross the bridge. Time for each person: 1 min, 2 mins, 7 mins, and 10 mins. What is the shortest time needed for all four of them to cross the bridge?",17,"The shortest time needed for all four people to cross the bridge is 22 minutes, using the negative side's proposed solution.",0,17 minutes,1,,17 minutes,1,17 minutes,1
47,A man fell in a 50m deep well. He climbs 4 meters up and slips 3 meters down in one day. How many days would it take for him to come out of the well?,47,50 days,0,47 days,1,,50 days,0,47 days,1
48,"In thirty minutes on a deserted road, there is a 95% chance of seeing a vehicle. What are the probabilities of seeing a vehicle in ten minutes?","63.15%, 0.6315",The probability of seeing a vehicle in 10 minutes on the deserted road is approximately 31.7%.,0,"The probability of seeing a vehicle in 10 minutes is approximately 63.2% (or more precisely, 1 - ∛0.05 ≈ 0.632). This is derived by recognizing that P(no vehicle in 30 min) = 0.05, and since 30 minutes equals three 10-minute periods, P(no vehicle in 10 min) = ∛0.05 ≈ 0.368, making P(seeing a vehicle in 10 min) = 1 - 0.368 ≈ 0.632 or 63.2%.",1,,31.70%,0,0.632 or 63.2%,1
49,"Ram used to arrive at the railway station every day at 6 pm from work. As soon as Ram arrived at the station, his wife Sita too arrives at the station by car to pick him up. Both drive back home. One day Ram arrived at the station one hour early and thought of taking a walk back to home. He started walking when after covering a specific distance, he meets with Sita. Both drive back home and this time they reached 30 minutes earlier than the usual time. How long has Ram been walking? It is known that Sita drove every day at a uniform speed.",45,Ram was walking for 30 minutes.,0,45 minutes,1,,"0.5 hours, 30 min",0,45 minutes,1
50,"On an Island, there is an airport that has an unlimited number of identical air-planes. Each air-plane has a fuel capacity to allow it to fly exactly 1/2 way around the world, along a great circle. The planes have the ability to refuel in flight without loss of speed or spillage of fuel. Though the fuel is unlimited, the island is the only source of fuel. You can ignore the time and fuel consumption of refuelling. What is the minimum number of air-planes required to get one air plane all the way around the world assuming that all of the air planes must return safely to the airport?",3,"The minimum number of planes required to get one plane all the way around the world, assuming all planes must return safely to the airport, is 2.",0,5 airplanes,0,,3,1,3 planes,1
Total,,,12 incorrect with same explanation as CIAR.json,15,7 incorrect with same explanation as CIAR.json,40,,,18,,45
Percentage,,,12/35 = 34%,15/50 = 30%,7/10 = 70%,40 / 50 = 80%,,13 / 32 = 40.6%,18/50 = 36%,3 / 5 = 60%,45/50 = 90%
,,,,,,,,,,,
,,,,,,,,,,,
,Matched the incorrect answer given in original paper,,,,,,,,,,
